comadre_species,amp_key,method
Lynx canadensis,Lynx_canadensis,exact
Macaca mulatta,Macaca_mulatta,exact
Maccullochella peelii,Maccullochella_peelii,exact
Macquaria ambigua,Macquaria_ambigua,exact
Macrhybopsis storeriana,Macrhybopsis_storeriana,exact
Macropus eugenii,Macropus_eugenii,exact
Malaclemys terrapin,Malaclemys_terrapin,exact
Marmota flaviventris,Marmota_flaviventris,exact
Milvus migrans,Milvus_migrans,exact
Mirounga angustirostris,Mirounga_angustirostris,exact
Mirounga leonina,Mirounga_leonina,exact
Montastraea annularis,,
Morone saxatilis,Morone_saxatilis,exact
Moxostoma duquesnii,Moxostoma_duquesnii,exact
Moxostoma hubbsi,Moxostoma_hubbsi,exact
Mustela erminea,Mustela_erminea,exact
Mya arenaria,Mya_arenaria,exact
Mytilus californianus,Mytilus_californianus,exact
Mytilus galloprovincialis,Mytilus_galloprovincialis,exact
Nephtys incisa,,
Nipponia nippon,Nipponia_nippon,exact
Nocomis leptocephalus,,
Notropis anogenus,,
Notropis percobromus,,
Notropis photogenis,,
Noturus stigmosus,Noturus_stigmosus,exact
Nuttallia obscurata,,
Odocoileus virginianus,Odocoileus_virginianus,exact
Oligocottus maculosus,Oligocottus_maculosus,exact
Oncorhynchus Oncorhynchus clarkii,,
Oncorhynchus gilae,Oncorhynchus_gilae,exact
Oncorhynchus tshawytscha,Oncorhynchus_tshawytscha,exact
Onychogalea fraenata,Onychogalea_fraenata,exact
Opsopoeodus emiliae,Opsopoeodus_emiliae,exact
Orbicella annularis,,
Orcinus orca,Orcinus_orca,exact
Otus Otus scops,Otus_scops,dedup_genus
Ovis aries,Ovis_aries,exact
Ovis canadensis,Ovis_canadensis,exact
Pan troglodytes schweinfurthii,Pan_troglodytes,trinomial
Panthera pardus,Panthera_pardus,exact
Papio cynocephalus,Papio_cynocephalus,exact
Paramuricea clavata,,
Parus major,Parus_major,exact
Pelagia noctiluca,Pelagia_noctiluca,exact
Percina copelandi,,
Pernis apivorus,Pernis_apivorus,exact
Peromyscus maniculatus,Peromyscus_maniculatus,exact
Petauroides volans,Petauroides_volans,exact
Petaurus australis,,
Petromyzon marinus,Petromyzon_marinus,exact
Petronia petronia,,
Phacochoerus aethiopicus,Phacochoerus_aethiopicus,exact
Phalacrocorax auritus,Phalacrocorax_auritus,exact
Phalacrocorax carbo,Phalacrocorax_carbo,exact
Phascolarctos cinereus,Phascolarctos_cinereus,exact
Phoca vitulina,Phoca_vitulina,exact
Phocarctos hookeri,Phocarctos_hookeri,exact
Phoebastria immutabilis,Phoebastria_immutabilis,exact
Phrynosoma cornutum,,
Physeter macrocephalus,Physeter_macrocephalus,exact
Picoides borealis,Leuconotopicus_borealis,gbif_accepted
Pimephales promelas,Pimephales_promelas,exact
Platalea minor,,
Platygyra daedalea,,
Platygyra sinensis,,
Pocillopora damicornis,,
Podocnemis expansa,Podocnemis_expansa,exact
Poecilia reticulata,Poecilia_reticulata,exact
Pongo abelii,,
Porites astreoides,,
Porites harrisoni,,
Presbytis thomasi,,
Propithecus edwardsi,,
Propithecus verreauxi,Propithecus_verreauxi,exact
Pseudocheirus peregrinus,Pseudocheirus_peregrinus,exact
Puffinus auricularis,,
Puma concolor,Puma_concolor,exact
Pygoscelis adeliae,Pygoscelis_adeliae,exact
Pylodictis olivaris,Pylodictis_olivaris,exact
Rana catesbeiana,Lithobates_catesbeianus,gbif_accepted
Rana temporaria,Rana_temporaria,exact
Rangifer tarandus,Rangifer_tarandus,exact
Rattus fuscipes,Rattus_fuscipes,exact
Rhinichthys cataractae,Rhinichthys_cataractae,exact
Rhinichthys osculus,,
Rissa tridactyla,Rissa_tridactyla,exact
Rutilus rutilus,Rutilus_rutilus,exact
Saguinus fuscicollis,,
Saguinus imperator,,
Salmo salar,Salmo_salar,exact
Salvelinus confluentus,,
Salvelinus fontinalis,Salvelinus_fontinalis,exact
Salvelinus malma,Salvelinus_malma,exact
Sceloporus arenicolus,,
Sceloporus grammicus,Sceloporus_grammicus,exact
Sceloporus mucronatus mucronatus,,
Scolytus ventralis,,
Sigmodon hispidus,Sigmodon_hispidus,exact
Somateria mollissima,Somateria_mollissima,exact
Spermophilus dauricus,Spermophilus_dauricus,exact
Spongia graminea,,
Sterna hirundo,Sterna_hirundo,exact
Sternula antillarum browni,Sternula_antillarum,trinomial
Strix occidentalis,Strix_occidentalis,exact
Sus scrofa,Sus_scrofa,exact
Tachycineta bicolor,Tachycineta_bicolor,exact
Tamiasciurus hudsonicus,Tamiasciurus_hudsonicus,exact
Thalassarche melanophris,,
Thalia democratica,Thalia_democratica,exact
Theropithecus gelada,Theropithecus_gelada,exact
Turdus torquatus,Turdus_torquatus,exact
Tympanuchus cupido,,
Umbonium costatum,,
Urocitellus armatus,Urocitellus_armatus,exact
Urocitellus beldingi,Urocitellus_beldingi,exact
Urocitellus columbianus,Urocitellus_columbianus,exact
Urocyon littoralis,,
Ursus americanus,Ursus_americanus,exact
Ursus arctos,Ursus_arctos,exact
Ursus maritimus,Ursus_maritimus,exact
Vermivora chrysoptera,,
Vipera aspis,Vipera_aspis,exact
Vireo latimeri,,
Vulpes vulpes,Vulpes_vulpes,exact
Xenosaurus grandis,Xenosaurus_grandis,exact
Xenosaurus platyceps,Xenosaurus_platyceps,exact
Xestospongia muta,,
Yoldia notabilis,,
Zalophus californianus,Zalophus_californianus,exact
Zenaida macroura,Zenaida_macroura,exact
Zingel asper,Zingel_asper,exact
Zoarces viviparus,Zoarces_viviparus,exact
Zootoca vivipara,Zootoca_vivipara,exact
