# Station-YEAR Stress-on-Stress panel, Mytilus edulis, ICES DOME 2024 OSPAR CEMP.
# One row per SURVT station-year; contaminants/size matched to nearest year with
# data at the same station within +/-2 yr (contam_lag = yr offset used, 99=none).
# survt_median_d = median survival-in-air days. Generated by scripts/extract_dome_sos_yearly.jl.
station_code,station_name,year,survt_median_d,survt_n,contam_lag,LNMEA,DRYWT,CD,CU,HG,PB,ZN,NAP,ACNLE,ACNE,FLE,PA,ANT,SCB7
7238,"Forth_KinghornLeithDocks_sh02",2015,9.5,40,1,4.651,16.04,860.0,6560.0,278.0,4760.0,103000.0,363.97,13.155,20.012,20.2,122.76,24.439,nd
7238,"Forth_KinghornLeithDocks_sh02",2019,9.0,40,0,5.39,21.79,669.0,5700.0,208.61,2860.0,77000.0,4.5893,2.7536,8.2607,10.096,8.2607,3.8091,nd
7244,"Forth_LeithDocksPortSeton_sh01",2015,7.0,40,1,5.149,17.6,590.0,5960.0,139.0,2720.0,127000.0,106.93,7.3864,22.784,37.841,130.17,21.307,nd
7244,"Forth_LeithDocksPortSeton_sh01",2019,8.0,30,0,5.76,20.52,521.0,5440.0,141.07,2630.0,69700.0,4.8733,2.4366,2.4366,8.7719,11.209,4.5322,nd
7903,"IrishSea_BalcaryPoint_sh01",2013,7.0,40,0,nd,19.39,95633.0,1.0462e6,773.37,1434.7,346380.0,1.4673,0.41401,0.82194,1.793,11.419,1.035,6.609
7903,"IrishSea_BalcaryPoint_sh01",2017,9.0,40,0,nd,16.22,1325.5,5104.8,214.12,3131.7,71102.0,2.4661,0.49322,0.45438,1.1922,10.604,1.233,9.4328
8083,"MinchMalin_LochEwe_sh01",2018,10.0,40,99,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd,nd
8083,"MinchMalin_LochEwe_sh01",2021,12.0,40,0,nd,17.03,643.24,7564.0,499.7,607.5,106020.0,1.3506,0.46976,0.71471,1.6514,8.3383,1.1744,nd
8774,"MorayF_MorayFirth_sh01",2020,9.0,40,2,5.3,20.99,700.0,5810.0,332.19,2240.0,86200.0,4.7642,2.3821,2.3821,4.7642,4.7642,2.3821,nd
8781,"MorayF_OuterCromartyFirth_sh05",2016,7.0,40,2,5.3,16.08,611.0,5670.0,251.85,1600.0,78500.0,6.2189,3.1095,3.1095,6.2189,6.2189,3.1095,nd
8781,"MorayF_OuterCromartyFirth_sh05",2020,8.5,40,1,5.95,13.84,615.0,5960.0,238.52,1610.0,78700.0,7.2254,3.6127,3.6127,7.2254,7.2254,3.6127,nd
