species,Ww_i_g,Wd_i_g,L_i_cm
Clione_limacina,3.75747,0.56362,1.10134
Clithon_retropictum,0.759905,0.113986,0.889438
Cloeon_dipterum,0.0375358,0.00638108,3.08949
Clupanodon_thrissa,340.184,68.0368,6.12952
Clupea_bentincki,335.612,67.1224,5.30041
Clupea_harengus,971.105,194.221,9.18379
Clupea_pallasii,923.662,184.732,4.39489
Clupeichthys_aesarnensis,4.36044,0.872088,1.28826
Clupeonella_caspia,42.6271,8.52542,3.17719
Clupeonella_cultriventris,46.752,9.3504,2.18275
Clupeonella_engrauliformis,21.0285,4.20569,2.33586
Clupeonella_grimmi,22.9025,4.5805,2.74403
Clupisoma_garua,1790.4,358.08,9.74059
Clupisoma_sinense,136.726,27.3452,4.23027
Clypeaster_subdepressus,486.596,43.7936,7.09148
Cnemophilus_loriae,79.8653,22.3623,1.4475
Cnemophilus_macgregorii,95.2508,26.6702,1.4998
Cnidoglanis_macrocephalus,5041.01,1008.2,9.67338
Cnipodectes_subbrunneus,23.5895,6.60506,0.90211
Cobitis_calderoni,3.81113,0.762226,1.42154
Cobitis_elongatoides_x_Cobitis_tanaitica,23.4738,4.69477,0.84047
Cobitis_meridionalis,11.2194,2.24387,1.54154
Cobitis_narentana,4.88325,0.97665,1.53235
Cobitis_ohridana,2.61954,0.523908,1.3257
Cobitis_paludica,16.0998,3.21996,2.23858
Cobitis_simplicispina,11.115,2.22301,2.06923
Cobitis_taenia,12.5644,2.51288,2.17202
Cobitis_trichonica,6.60069,1.32014,1.69546
Cobitis_turcica,10.9536,2.19071,2.04811
Coccinella_septempunctata,8.29347,1.40989,0.619503
Coccothraustes_coccothraustes,55.5307,15.5486,1.0171
Coccyzus_americanus,63.5061,17.7817,2.4128
Coccyzus_erythropthalmus,48.729,13.6441,2.3116
Cochlearius_cochlearius,607.274,170.037,3.7156
Coeligena_coeligena,5.90328,1.65292,0.53771
Coeligena_torquata,8.60906,2.41054,1.4562
Coeligena_violifer,6.93271,1.94116,0.488
Coelorinchus_caelorhincus,659.088,131.818,5.70563
Coelorinchus_fasciatus,652.468,130.494,6.72863
Coelorinchus_labiatus,644.51,128.902,4.20169
Coendou_prehensilis,4573.57,1372.07,4.9944
Coendou_spinosus,1847.17,554.15,3.3053
Coenocorypha_aucklandica,128.111,35.8711,2.3268
Coenocorypha_huegeli,112.306,31.4456,3.1364
Coenocorypha_pusilla,72.4458,20.2848,2.0359
Coereba_flaveola,9.58999,2.6852,0.5625
Coilia_borneensis,6.96578,1.39316,1.83527
Coilia_brachygnathus,162.461,32.4922,3.82041
Coilia_dussumieri,30.0004,6.00008,2.51926
Coilia_mystus,33.5074,6.70148,2.68099
Coilia_nasus,216.611,43.3223,4.22993
Coilia_ramcarati,71.7797,14.3559,3.64488
Colaptes_rivolii,103.134,28.8774,1.7098
Coleonyx_variegatus,9.33329,2.79999,1.4887
Coleura_seychellensis,10.5469,3.16408,1.0535
Colibri_coruscans,6.43292,1.80122,0.55821
Colibri_thalassinus,6.20391,1.7371,0.5727
Colinus_virginianus,214.109,59.9506,1.7271
Colistium_guentheri,12162.6,2432.51,18.9596
Colistium_nudipinnis,12121.6,2424.33,18.9726
Colius_castanotus,63.0911,17.6655,1.7095
Colius_colius,45.005,12.6014,2.7051
Colius_striatus,55.7036,15.597,3.3917
Collocalia_esculenta,8.47596,2.37327,1.2817
Colobus_guereza,12440.8,3732.23,5.1099
Coloeus_monedula,256.57,71.8395,3.0894
Cololabis_saira,267.003,53.4006,3.1618
Colossoma_macropomum,44236.8,8847.36,20.2665
Colostethus_inguinalis,1.55267,0.434747,1.0615
Coluber_constrictor,1489.77,446.931,9.7116
Columba_leucomela,419.96,117.589,2.6452
Columba_livia,290.672,81.3882,1.4925
Columba_oenas,296.206,82.9375,1.591
Columba_palumbus,501.886,140.528,1.7042
Columba_vitiensis,516.032,144.489,4.4959
Columbina_inca,47.243,13.228,1.8602
Columbina_talpacoti,35.2855,9.87995,0.88135
Condylura_cristata,54.0896,16.2269,2.3463
Conger_conger,47799.9,9559.99,18.6716
Conger_myriaster,910.603,182.121,3.9386
Congresox_talabonoides,15343.9,3068.78,9.64818
Conilurus_penicillatus,174.297,52.2891,1.3925
Conirostrum_sitticolor,11.7212,3.28193,0.75404
Connochaetes_gnou,120720.0,36216.0,31.4004
Connochaetes_taurinus,250609.0,75182.8,42.9404
Conodon_nobilis,581.192,116.238,6.7235
Conopophaga_ardesiaca,25.7657,7.21441,0.87244
Conopophaga_peruviana,22.7623,6.37345,0.87546
Conraua_goliath,3236.15,906.121,6.0652
Contopus_sordidulus,11.8701,3.32363,0.71367
Contopus_virens,15.2957,4.2828,0.82975
Contusus_richei,284.398,56.8795,5.0094
Conus_pennaceus,27.6323,4.14484,2.74812
Copadichromis_likomae,38.9623,7.79247,2.5789
Copadichromis_mloto,39.753,7.9506,2.7848
Copadichromis_pleurostigmoides,42.1412,8.42825,2.9309
Copadichromis_quadrimaculatus,96.5289,19.3058,3.6501
Copadichromis_virginalis,31.7675,6.3535,2.753
Copsychus_malabaricus,27.1629,7.6056,1.5782
Copsychus_saularis,43.3927,12.15,1.406
Coptodon_guineensis,636.034,127.207,6.8276
Coptodon_rendalli,2607.36,756.135,11.2363
Coptodon_zillii,596.648,119.33,3.3239
Coracias_benghalensis,165.587,46.3642,2.71
Coracias_cyanogaster,143.956,40.3077,2.7551
Coracias_naevius,165.501,46.3402,2.8963
Coracopsis_barklyi,265.492,74.3378,3.6119
Coragyps_atratus,2132.75,597.169,5.0222
Corbicula_fluminea,69.7397,6.27657,3.10162
Corbula_gibba,0.191281,0.0172153,0.573229
Coregonus_albula,1063.41,212.683,8.71366
Coregonus_artedi,1942.1,388.42,9.08296
Coregonus_autumnalis,2725.65,545.13,12.4004
Coregonus_chadary,2893.89,578.777,12.6324
Coregonus_clupeaformis,14614.4,2922.88,15.4994
Coregonus_hoyi,663.94,132.788,6.95927
Coregonus_kiyi,574.46,114.892,3.93935
Coregonus_laurettae,1409.97,281.994,6.84487
Coregonus_lavaretus,9424.99,1885.0,13.8895
Coregonus_macrophthalmus,242.459,48.4917,4.03925
Coregonus_muksun,8817.13,1763.43,18.3313
Coregonus_nasus,4770.56,954.111,8.13635
Coregonus_pidschian,1758.01,351.602,7.54646
Coregonus_pollan,496.661,99.3323,5.96628
Coregonus_reighardi,554.743,110.949,4.45724
Coregonus_sardinella,1023.85,204.769,6.66944
Coregonus_ussuriensis,2707.92,541.583,12.277
Coregonus_zenithicus,803.14,160.628,5.66175
Coreobagrus_ichikawai,9.8369,1.96738,1.83152
Coris_auricularis,810.842,162.168,7.54511
Coris_julis,236.185,47.237,5.50514
Cornu_aspersum,234.89,35.2335,2.62312
Coronatella_rectangula,1.11129e-5,1.88919e-6,0.017104
Coronella_austriaca,80.3036,24.0911,3.5251
Corophium_volutator,0.0230586,0.00391996,0.272
Correlophus_ciliatus,50.6994,15.2098,2.6285
Corthylio_calendula,11.4398,3.20316,0.863598
Corvus_albus,515.465,144.33,3.4123
Corvus_brachyrhynchos,386.976,108.353,3.2988
Corvus_caurinus,299.992,83.9979,3.3985
Corvus_corax,1229.35,344.218,3.1604
Corvus_corone,501.317,140.369,3.4591
Corvus_frugilegus,521.681,146.071,3.9961
Corvus_fuscicapillus,639.011,178.923,2.2555
Corvus_hawaiiensis,523.631,146.617,3.553
Corvus_ossifragus,317.675,88.949,1.4974
Corvus_ruficollis,702.286,196.64,2.8515
Corvus_splendens,332.075,92.981,1.8324
Corydon_sumatranus,139.664,39.1059,2.8468
Corydoras_aeneus,3.13044,0.626088,1.2699
Corynorhinus_rafinesquii,10.0142,3.00427,2.0504
Coryphaena_equiselis,36211.0,7242.21,26.9562
Coryphaena_hippurus,40706.0,8141.2,24.6679
Coryphaenoides_acrolepis,3209.52,641.904,10.2126
Coryphaenoides_armatus,5866.02,1173.2,12.2292
Coryphaenoides_brevibarbis,184.44,36.888,4.14806
Coryphaenoides_carapinus,441.052,88.2103,5.17338
Coryphaenoides_guentheri,608.265,121.653,5.25447
Coryphaenoides_mediterraneus,2003.88,400.775,8.46117
Coryphaenoides_rupestris,2038.58,407.716,2.74171
Coryphaenoides_yaquinae,2002.88,400.576,4.51338
Corythopis_torquatus,14.2315,3.98481,0.82934
Cottunculus_microps,140.21,28.042,3.51429
Cottus_aleuticus,48.5302,9.70605,3.09177
Cottus_asperrimus,8.46849,1.6937,1.80472
Cottus_bairdii,21.4854,4.29708,2.42271
Cottus_beldingii,21.6255,4.32511,2.37778
Cottus_carolinae,60.2549,12.051,3.28966
Cottus_cognatus,13.4992,2.69985,2.02901
Cottus_confusus,25.7929,5.15858,2.7326
Cottus_extensus,25.0234,5.00469,2.48917
Cottus_gobio,89.1595,17.8319,3.73745
Cottus_hangiongensis,21.4522,4.29045,2.36323
Cottus_klamathensis,7.29569,1.45914,1.55338
Cottus_leiopomus,25.4102,5.08203,2.59733
Cottus_pitensis,21.637,4.32741,2.40657
Cottus_volki,39.7264,7.94528,2.75673
Coturnix_coturnix,146.745,41.0886,2.238
Coturnix_japonica,270.867,75.8429,2.1784
Coturnix_pectoralis,107.099,29.9877,2.2295
Couesius_plumbeus,116.737,23.3474,4.18956
Cracticus_torquatus,81.246,22.7489,1.6138
Cranchia_scabra,307.304,64.5338,3.64892
Crangon_crangon,5.6405,0.958885,1.42844
Cranioleuca_marcapatae,19.1571,5.364,0.83325
Cranoglanis_bouderius,990.704,198.141,7.13591
Cranoglanis_multiradiatus,509.324,101.865,7.13007
Crassostrea_corteziensis,9.92144,0.892929,2.07392
Crassostrea_virginica,468.755,42.188,7.20947
Crax_alberti,2962.06,829.376,6.2581
Crax_blumenbachii,3489.66,977.106,11.2218
Creagrus_furcatus,757.384,212.067,4.0132
Crenichthys_baileyi,9.08804,1.81761,1.85545
Crepidula_fornicata,3.9046,0.585691,1.53804
Creteuchiloglanis_macropterus,1012.81,202.562,7.63768
Crex_crex,143.486,40.176,2.6041
Cricetomys_gambianus,1679.74,503.923,4.526
Cricetulus_barabensis,59.9443,17.9833,1.4126
Cricetus_cricetus,521.868,156.561,6.1918
Crinia_georgiana,6.10038,1.70811,1.275
Crinia_nimbus,1.57568,0.44119,0.7611
Crocidura_fuscomurina,5.80568,1.7417,1.7174
Crocidura_hildegardeae,9.97554,2.99266,0.68065
Crocidura_jouvenetae,10.9985,3.29954,0.78712
Crocidura_leucodon,11.1424,3.34271,0.68541
Crocidura_luna,11.8106,3.54319,0.8096
Crocidura_olivieri,60.3551,18.1065,0.99413
Crocidura_poensis,17.5729,5.27187,0.75589
Crocidura_russula,11.4874,3.44621,1.2546
Crocidura_suaveolens,7.77653,2.33296,1.4104
Crocidura_viaria,15.3279,4.59837,0.66205
Crocodylus_acutus,170085.0,51025.4,33.1376
Crocodylus_intermedius,225310.0,67592.9,36.933
Crocodylus_johnsoni,24782.0,7434.6,18.6446
Crocodylus_mindorensis,78438.7,23531.6,28.3604
Crocodylus_moreletii,43602.9,13080.9,33.8212
Crocodylus_niloticus,719223.0,215767.0,53.4655
Crocodylus_palustris,114114.0,34234.2,34.1058
Crocodylus_porosus,457874.0,137362.0,43.479
Crocodylus_rhombifer,79687.3,23906.2,31.0772
Crocodylus_siamensis,146604.0,43981.1,34.4786
Crocuta_crocuta,63648.5,19094.6,29.8795
Crossaster_papposus,2513.11,226.18,11.8753
Crotalus_horridus,1623.83,487.15,10.7926
Crotalus_lepidus,224.789,67.4368,5.3209
Crotalus_oreganus,242.148,72.6444,5.3185
Crotalus_pricei,119.075,35.7224,4.2338
Crotaphytus_collaris,40.1548,12.0464,2.2717
Cryodraco_antarcticus,3978.55,795.71,3.18894
Crypsirina_temia,129.047,36.1333,1.3961
Cryptobranchus_alleganiensis,2435.25,681.869,10.3545
Cryptochiton_stelleri,894.825,89.4825,6.37587
Cryptomys_hottentotus,68.0453,20.4136,1.9443
Cryptopipo_holochlora,14.851,4.15827,0.81625
Cryptoprocta_ferox,8181.21,2454.36,14.2388
Cryptotis_parva,4.40781,1.32234,1.4466
Crypturellus_soui,245.43,68.7203,3.6677
Crystallaria_asprella,22.1327,4.42655,2.52527
Crystallogobius_linearis,0.453882,0.0907764,0.40594
Ctenochaetus_binotatus,297.297,59.4593,5.43543
Ctenochaetus_striatus,887.885,177.577,9.20878
Ctenochaetus_strigosus,101.687,20.3374,4.28872
Ctenodactylus_gundi,287.563,86.2689,2.4781
Ctenodactylus_vali,171.845,51.5534,2.2609
Ctenolabrus_rupestris,76.0196,15.2039,3.39976
Ctenomys_australis,354.951,106.485,3.7842
Ctenomys_fulvus,358.368,107.511,3.1193
Ctenomys_magellanicus,183.84,55.1519,2.5191
Ctenomys_maulinus,186.773,56.0318,2.1553
Ctenomys_mendocinus,195.523,58.6568,2.3829
Ctenomys_opimus,240.254,72.0763,3.2003
Ctenomys_peruanus,488.461,146.538,3.8731
Ctenomys_talarum,120.64,36.192,1.4349
Ctenomys_tuconax,597.712,179.314,3.2688
Ctenopharyngodon_idella,40900.6,8180.13,19.8533
Ctenopharynx_intermedius,95.613,19.1226,3.7838
Ctenophorus_adelaidensis,9.02084,2.70625,1.4289
Ctenophorus_ornatus,26.4502,7.93507,1.9025
Ctenosaura_similis,1044.0,313.201,7.2625
Ctenosciaena_gracilicirrhus,100.455,20.0909,4.15646
Ctenotus_pantherinus,15.1892,4.55677,1.4388
Cubiceps_pauciradiatus,88.2657,17.6531,4.38069
Cuculus_canorus,105.244,29.4685,2.0228
Cuculus_solitarius,71.1983,19.9355,2.1585
Culaea_inconstans,8.78517,1.75703,1.59554
Culex_pipiens,1101.09,187.185,0.173114
Culter_alburnus,7201.78,1440.36,15.5494
Cumberlandia_monodonta,381.51,34.3359,3.08792
Cuniculus_paca,11321.4,3396.41,5.3317
Cuon_alpinus,15130.6,4539.19,6.5747
Cuora_flavomarginata,1020.62,306.185,8.9736
Curimata_knerii,90.5073,18.1015,2.83381
Curruca_curruca,12.1998,3.41595,0.71779
Curruca_nisoria,26.604,7.44912,0.77268
Cuthona_nana,0.142104,0.0213156,0.261994
Cyanea_capillata,1.00526e6,20105.2,46.3018
Cyanerpes_cyaneus,14.6928,4.11398,0.63693
Cyanistes_caeruleus,11.3272,3.17161,0.74826
Cyanocitta_cristata,77.5458,21.7128,1.0935
Cyanocorax_beecheii,198.248,55.5093,3.012
Cyanoliseus_patagonus,389.588,109.085,2.8585
Cyanoloxia_cyanoides,33.8199,9.46958,0.88436
Cyanolyca_viridicyanus,109.625,30.695,1.128
Cyanomitra_cyanolaema,16.6155,4.65235,0.90275
Cyanomitra_olivacea,9.75222,2.73062,0.81184
Cyanomitra_veroxii,9.61153,2.69123,0.85291
Cyanomitra_verticalis,13.1268,3.67551,0.75683
Cyanopica_cyanus,70.4553,19.7275,2.3426
Cyanopsitta_spixii,344.968,96.5911,3.4245
Cyanoramphus_auriceps,40.9452,11.4647,1.3112
Cyanoramphus_novaezelandiae,89.5298,25.0683,1.7291
Cyanoramphus_unicolor,130.428,36.5197,1.5319
Cycleptus_elongatus,4268.84,853.768,12.7555
Cycleptus_meridionalis,1413.46,282.693,8.19601
Cyclestheria_hislopi,0.00920851,0.00156545,0.14397
Cyclocheilichthys_apogon,742.95,148.59,8.21674
Cyclonaias_asperata,6.2403,0.561627,1.53432
Cyclopes_didactylus,267.458,80.2374,2.6482
Cyclops_vicinus,0.000162283,2.75881e-5,0.0490693
Cyclopsetta_chittendeni,425.726,85.1452,6.5548
Cyclopsetta_querna,988.522,197.704,8.58209
Cyclopterus_lumpus,9758.44,1951.69,20.6604
Cyclosalpa_bakeri,51.4698,0.035562,0.26896
Cyclothone_alba,0.368935,0.073787,0.622981
Cyclothone_atraria,0.961973,0.192395,0.787249
Cyclothone_pallida,1.56455,0.31291,1.11494
Cyclura_nubila,3365.16,1009.55,8.8135
Cyclura_pinguis,4500.13,1350.04,15.1009
Cygnus_buccinator,10217.3,2860.84,5.3481
Cygnus_cygnus,8640.06,2419.22,11.487
Cygnus_olor,10752.2,3010.63,7.0055
Cymatoceps_nasutus,69247.1,13849.4,23.9669
Cymbirhynchus_macrorhynchos,62.6881,17.5527,1.5057
Cynoglossus_abbreviatus,285.285,57.0571,5.16605
Cynoglossus_arel,339.514,67.9028,5.72147
Cynoglossus_canariensis,1162.8,232.561,7.15379
Cynoglossus_joyneri,332.268,66.4536,5.27229
Cynoglossus_lida,63.2235,12.6447,3.31138
Cynoglossus_macrolepidotus,342.677,68.5354,5.39881
Cynoglossus_macrostomus,83.4681,16.6936,3.60907
Cynoglossus_puncticeps,317.617,63.5234,5.74955
Cynoglossus_robustus,380.112,76.0224,5.11285
Cynoglossus_semifasciatus,51.7788,10.3558,3.20688
Cynoglossus_senegalensis,1805.76,361.152,7.13274
Cynoglossus_zanzibarensis,1206.24,241.247,4.68203
Cynomys_ludovicianus,1090.71,327.213,4.5308
Cynopoecilus_melanotaenia,0.109056,0.0218111,0.276097
Cynops_pyrrhogaster,3.78522,1.05986,1.4369
Cynopterus_brachyotis,37.3997,11.2199,1.3799
Cynopterus_sphinx,75.0322,22.5096,3.7209
Cynoscion_acoupa,13030.0,2606.0,20.6292
Cynoscion_albus,24373.9,4874.77,22.4406
Cynoscion_analis,1101.84,220.368,8.82714
Cynoscion_arenarius,2736.73,547.347,11.9892
Cynoscion_guatucupa,1880.76,376.153,10.7754
Cynoscion_jamaicensis,1846.57,369.315,8.99702
Cynoscion_leiarchus,8196.05,1639.21,17.3199
Cynoscion_nebulosus,7806.96,1561.39,15.3673
Cynoscion_nothus,1004.32,200.864,8.99447
Cynoscion_othonopterus,3927.94,785.588,8.98332
Cynoscion_regalis,9866.23,1973.25,17.4929
Cynoscion_squamipinnis,2532.32,506.464,10.2032
Cynoscion_stolzmanni,17433.5,3486.71,16.0515
Cynoscion_striatus,1949.14,389.828,8.96682
Cynoscion_xanthulus,16278.2,3255.64,17.7883
Cyornis_hainanus,14.3992,4.03179,0.8817
Cyornis_sumatrensis,15.883,4.44723,0.82321
Cyphocharax_magdalenae,354.916,70.9833,5.53899
Cyphocharax_voga,508.996,101.799,5.96137
Cyphomyrus_discorhynchus,1104.71,220.941,9.02152
Cyphorhinus_thoracicus,31.6982,8.8755,1.0554
Cyprideis_torosa,0.000119833,2.03717e-5,0.0441238
Cyprinella_analostana,11.7514,2.35029,2.12337
Cyprinella_lutrensis,8.01314,1.60263,1.87816
Cyprinella_trichroistia,9.10796,1.82159,1.85207
Cyprinella_venusta,41.4184,8.28367,3.13856
Cyprinion_kais,39.2788,7.85577,3.09526
Cyprinion_macrostomus,77.589,15.5178,3.89908
Cyprinodon_bovinus,4.08036,0.816072,1.36709
Cyprinodon_diabolis,0.372005,0.0744009,0.678693
Cyprinodon_elegans,3.81101,0.762203,1.46537
Cyprinodon_macularius,7.27034,1.45407,1.82831
Cyprinodon_nevadensis,8.08501,1.617,1.80406
Cyprinodon_variegatus,16.6582,3.33164,2.28636
Cyprinus_carpio,47619.6,9523.92,7.79938
Cyprogenia_stegaria,6.18743,0.556869,1.04764
Cypseloides_cherriei,23.8517,6.67849,1.5638
Cypseloides_cryptus,35.2278,9.86378,1.5326
Cypseloides_fumigatus,45.2414,12.6676,2.0937
Cypseloides_niger,44.9321,12.581,1.7874
Cypselurus_opisthopus,42.6118,8.52237,3.22598
Cypselurus_poecilopterus,332.62,66.5239,2.9835
Cypsiurus_balasiensis,13.5292,3.78817,1.2901
Cypsnagra_hirundinacea,31.2329,8.74521,1.6611
Cyrtonyx_montezumae,255.343,71.496,2.416
Cyrtopodion_scabrum,3.48988,1.04697,0.82255
Cystophora_cristata,324424.0,97327.3,36.2573
Cyttus_traversi,5049.17,1009.83,11.2242
Cyzicus_grubei,0.197518,0.0335781,0.28544
Daboia_russelii,3330.83,999.248,10.3499
Dacelo_novaeguineae,359.407,100.634,3.9274
Dactylopterus_volitans,1867.65,373.529,11.3513
Dagetichthys_lusitanicus,776.532,155.306,8.8455
Dalatias_licha,45485.1,9097.03,14.1368
Dallia_pectoralis,359.947,71.9894,5.0262
Dama_dama,52682.0,15804.6,30.918
Damaliscus_lunatus,102591.0,30777.4,24.4012
Danio_rerio,1.16413,0.232825,0.758202
Daphnia_ambigua,9.23642e-5,1.57019e-5,0.024116
Daphnia_carinata,0.00557121,0.000947106,0.09428
Daphnia_cephalata,0.00395982,0.00067317,0.10441
Daphnia_cucullata,0.000150324,2.5555e-5,0.04534
Daphnia_galatea,0.000585599,9.95518e-5,0.055307
Daphnia_hyalina,0.000751096,0.000127686,0.0767
Daphnia_longispina,0.00130686,0.000222165,0.054706
Daphnia_lumholtzi,0.000202932,3.44985e-5,0.034531
Daphnia_magna,0.00482727,0.000917181,0.1516
Daphnia_mendotae,0.000232231,3.94792e-5,0.04422
Daphnia_middendorffiana,0.00123412,0.0002098,0.080384
Daphnia_obtusa,0.00122981,0.000209067,0.062255
Daphnia_parvula,0.000152566,2.59363e-5,0.029866
Daphnia_projecta,0.000745048,0.000126658,0.063414
Daphnia_pulex,0.0107959,0.00183531,0.1426
Daphnia_schoedleri,0.00295022,0.000501537,0.097125
Daphnia_similoides,0.0230056,0.00391096,0.14487
Daphnia_similus,0.0245541,0.0041742,0.19497
Daption_capense,702.669,196.747,3.5784
Daptrius_ater,398.666,111.627,4.1857
Darevskia_armeniaca,9.59075,2.87723,1.86815
Darevskia_bendimahiensis,6.11307,1.83392,1.4475
Darevskia_clarkorum,7.96705,2.39012,1.7634
Darevskia_derjugini,6.78033,2.0341,1.5854
Darevskia_dryada,9.30398,2.79119,1.7952
Darevskia_parvula,4.33921,1.30176,1.3862
Darevskia_raddei,10.8955,3.26864,1.9374
Darevskia_rudis,17.3658,5.20974,2.3021
Darevskia_sapphirina,4.45104,1.33531,1.4415
Darevskia_unisexualis,8.43129,2.52939,1.7788
Darevskia_uzzelli,5.5088,1.65264,1.4978
Darevskia_valentini,11.8464,3.55393,1.9451
Dascyllus_albisella,43.5937,8.71874,3.20473
Dascyllus_aruanus,20.0427,4.00855,2.53837
Dascyllus_reticulatus,20.9967,4.19935,2.44492
Daspletosaurus_torosus,1.96044e6,588132.0,56.2493
Dasyatis_chrysonota,14741.5,2948.31,15.682
Dasyatis_pastinaca,19863.8,3972.77,10.927
Dasycercus_cristicauda,118.199,35.4598,3.3731
Dasykaluta_rosamondae,34.5052,10.3516,2.2523
Dasymys_incomtus,144.762,43.4287,1.7648
Dasyprocta_azarae,3196.86,959.059,3.9903
Dasyprocta_leporina,3288.92,986.676,4.1686
Dasypus_novemcinctus,5295.1,1588.53,7.3346
Dasypus_sabanicola,1355.77,406.731,7.1386
Dasypus_septemcinctus,1450.21,435.062,4.1502
Dasyscopelus_selenops,4.12635,0.82527,1.29152
Dasyuroides_byrnei,103.769,31.1306,1.9046
Dasyurus_geoffroii,867.468,260.24,3.8172
Dasyurus_hallucatus,671.878,201.563,4.3035
Dasyurus_maculatus,1796.95,539.086,4.9451
Dasyurus_viverrinus,740.562,222.169,3.3972
Datnioides_undecimradiatus,1271.69,254.338,7.4387
Daubentonia_madagascariensis,2414.88,724.464,11.8661
Dawkinsia_denisonii,37.2514,7.45027,3.08362
Deania_calceus,7543.34,1508.67,13.4485
Decapterus_kurroides,1183.31,236.661,5.51419
Decapterus_macarellus,1081.61,216.323,7.89138
Decapterus_macrosoma,388.071,77.6141,5.5676
Decapterus_maruadsi,275.221,55.0442,4.46141
Decapterus_punctatus,310.417,62.0834,4.79657
Decapterus_russelli,823.586,164.717,6.91663
Decapterus_tabl,1604.96,320.991,5.81679
Deinosuchus_rugosus,5.02694e6,1.50808e6,73.9615
Deirochelys_reticularia,2949.21,884.762,9.432
Delichon_urbicum,32.7446,9.1685,1.4655
Delphinapterus_leucas,961724.0,288517.0,58.2981
Delphinus_delphis,129086.0,38725.7,28.2972
Deltentosteus_quadrimaculatus,9.37327,1.87465,1.8758
Deltistes_luxatus,7628.81,1525.76,14.3411
Dendragapus_obscurus,1181.37,330.782,3.3006
Dendrobaena_octaedra,0.393996,0.0630394,0.26071
Dendrobates_auratus,2.0315,0.56882,1.1862
Dendrochirus_brachypterus,73.3746,14.6749,2.08919
Dendrocincla_fuliginosa,40.914,11.4559,1.1488
Dendrocincla_merula,48.7716,13.656,1.17
Dendrocincla_tyrannina,56.6549,15.8634,1.4366
Dendrocolaptes_picumnus,90.2836,25.2794,1.5507
Dendrocolaptes_platyrostris,59.2092,16.5786,2.268
Dendrocopos_major,71.5146,20.0241,1.8777
Dendrocygna_autumnalis,1018.55,285.195,3.8647
Dendrocygna_bicolor,714.57,200.08,2.0775
Dendrodoa_grossularia,0.420189,0.0252113,0.67334
Dendrohyrax_dorsalis,4992.0,1497.6,12.2459
Dendrolagus_matschiei,18.5953,5.5786,2.2697
Dendrophysa_russelii,96079.9,19216.0,32.3159
Dendroplex_picus,52.0135,14.5638,1.7424
Dentex_angolensis,872.897,174.579,3.97712
Dentex_congoensis,1885.78,377.156,4.04739
Dentex_dentex,13756.9,2751.37,21.6032
Dentex_gibbosus,14903.1,2980.61,15.0297
Dentex_macrophthalmus,3532.28,706.457,10.7965
Dentex_maroccanus,1550.77,310.153,8.40896
Dentiraja_australis,1280.09,256.018,6.1513
Dentiraja_polyommata,547.52,109.504,6.1257
Dermatemys_mawii,25450.3,7635.1,14.8851
Dermatonotus_muelleri,59.3982,16.6315,3.0752
Dermochelys_coriacea,655168.0,196550.0,51.0009
Dermophis_mexicanus,143.625,40.2149,3.5767
Desmana_moschata,479.33,143.799,3.6318
Desmodillus_auricularis,55.876,16.7628,1.1997
Desmodus_rotundus,32.2317,9.6695,2.0514
Desmognathus_brimleyorum,12.5456,3.51276,1.8278
Desmognathus_fuscus,5.55387,1.55508,1.6447
Desmognathus_monticola,6.50136,1.82038,1.7612
Desmognathus_ochrophaeus,2.02998,0.568395,1.1953
Desmognathus_ocoee,2.04321,0.572099,1.1384
Desmognathus_quadramaculatus,16.465,4.61019,2.3934
Deveximentum_ruconius,8.1986,1.63972,1.82218
Devioeca_papuana,14.092,3.94577,0.67114
Diaemus_youngii,40.7709,12.2313,1.0451
Diagramma_pictum,7134.26,1426.85,16.6826
Diaphanosoma_brachyurum,8.58616e-5,1.45965e-5,0.036359
Diaphanosoma_excisum,0.000165672,2.81643e-5,0.042133
Diaphanosoma_sarsi,0.000135185,2.29815e-5,0.036605
Diaphanosoma_senegal,0.000275052,4.67588e-5,0.050994
Diaphorina_citri,0.00981806,0.00166907,0.188045
Diaphus_dumerilii,2.03999,0.407998,1.08994
Diaphus_fulgens,0.720557,0.144111,0.711687
Diaphus_suborbitalis,3.15522,0.631044,1.33518
Diaphus_theta,9.44254,1.88851,1.66439
Diaphus_watasei,40.7069,8.14137,2.38802
Diapterus_peruvianus,677.673,135.535,6.8752
Diapterus_rhombeus,79.1405,15.8281,4.09775
Dicaeum_cruentatum,5.76291,1.61361,0.70376
Dicamptodon_tenebrosus,115.878,32.4458,3.3458
Dicentrarchus_labrax,9346.61,1869.32,18.7665
Dicentrarchus_punctatus,3071.12,614.224,9.56997
Dicerorhinus_sumatrensis,1.75009e6,525028.0,70.1025
Diceros_bicornis,1.27353e6,382059.0,59.6776
Dichelopandalus_bonnieri,4.53317,0.770639,1.32399
Dichistius_capensis,8741.07,1748.21,11.6132
Dicologlossa_cuneata,99.9969,19.9994,4.18326
Dicrostonyx_groenlandicus,60.5384,18.1615,2.9811
Dicrostonyx_nelsoni,83.9491,25.1847,2.283
Dicrostonyx_torquatus,85.9841,25.7952,3.2241
Dicrostonyx_unalascensis,111.665,33.4996,2.4673
Dicrurus_aeneus,25.1466,7.04105,1.0097
Dicrurus_hottentottus,80.734,22.6055,1.2491
Dicrurus_leucophaeus,38.2939,10.7223,0.93805
Dicrurus_macrocercus,46.4697,13.0115,2.0084
