chemical_cas,chemical,species,n_records,LC50_ugL,amp_k_M,amp_p_M,amp_L_m
121755,Malathion,Oryzias_latipes,4,2592.3,0.06987798696149031,363.9773,0.18883
121755,Malathion,Pelophylax_ridibundus,2,33196.0,0.007448176391917193,54.4186,3.5252
121755,Malathion,Perca_flavescens,2,356.04,0.015843095558388757,82.7632,5.8403
121755,Malathion,Pimephales_promelas,5,12400.0,0.0567493727280711,334.7915,0.20018
121755,Malathion,Planorbella_trivolvis,4,247700.0,0.01676146477588394,65.4995,0.72235
121755,Malathion,Poecilia_reticulata,7,1800.0,0.011307274615239863,59.0125,0.72018
121755,Malathion,Pomacea_canaliculata,1,18680.0,0.07925269629261168,310.7509,3.2054
121755,Malathion,Procambarus_clarkii,3,1750.0,1.0418922898925578,4632.1183,1.0486
121755,Malathion,Pseudorasbora_parva,1,14500.0,0.004617575674089822,24.1217,2.1914
121755,Malathion,Ptychocheilus_lucius,1,9140.0,0.0025279590607179747,13.2704,9.4057
121755,Malathion,Puntius_sophore,4,2588.1,0.009721447298739727,50.7203,3.1793
121755,Malathion,Rasbora_daniconius,2,4899.0,0.005407002028643454,28.2253,1.0413
121755,Malathion,Salmo_salar,1,320.0,0.0027762587064676615,13.9507,4.83
121755,Malathion,Salmo_trutta,2,113.7,0.015451520580829183,80.7627,8.6375
121755,Malathion,Salvelinus_fontinalis,4,139.64,0.014773396411701214,77.1709,4.4694
121755,Malathion,Salvelinus_namaycush,4,118.57,0.006796700098517356,35.5698,4.1985
121755,Malathion,Sander_vitreus,2,83.905,0.003933886712661335,20.5692,2.9941
121755,Malathion,Simocephalus_serrulatus,1,3.0,0.4067796610169492,1800.0,0.05966
121755,Malathion,Simocephalus_vetulus,1,2.9,0.411574621791123,1829.2958,0.048926
121755,Malathion,Sphoeroides_maculatus,3,6000.0,0.19526824165601192,1020.8701,2.9518000000000004
121755,Malathion,Streptocephalus_proboscideus,1,81500.0,0.21822776788086293,973.8173,0.092909
121755,Malathion,Thalassoma_bifasciatum,3,27.0,0.004086613091389006,21.365,3.7356999999999996
121755,Malathion,Thamnocephalus_platyurus,1,25050.0,2.0825507879851526,9259.5177,0.066325
121755,Malathion,Tigriopus_brevicornis,3,20.5,0.0048466118533512514,21.4773,0.95804
121755,Malathion,Umbra_pygmaea,1,240.0,0.00504647673072764,26.3533,1.961
121755,Malathion,Xenopus_laevis,1,10900.0,0.020845839017735335,152.8,4.516
121755,Malathion,Zacco_platypus,1,9700.0,0.008624168534795881,44.9833,1.1889
