amp_key,comadre_species,k_M,lambda_A0,g,comadre_log_damping,generation_time,class,order,family
Macaca_mulatta,Macaca mulatta,0.0015372875526640105,0.0015372875526640105,1.0,0.21992,13.8686,Mammalia,Primates,Cercopithecidae
Maccullochella_peelii,Maccullochella peelii,0.001421081694266216,0.001421081694266216,1.0,0.11382,11.2175,Actinopterygii,Perciformes,Percichthyidae
Macquaria_ambigua,Macquaria ambigua,0.0025955342267673966,0.0025955342267673966,1.0,0.19541,6.0194,Actinopterygii,Perciformes,Percichthyidae
Macrhybopsis_storeriana,Macrhybopsis storeriana,0.00453578857853203,0.009593599035212244,2.449616418367602,0.20908,2.4853,Actinopterygii,Cypriniformes,Cyprinidae
Macropus_eugenii,Macropus eugenii,0.005575869346857771,0.00961207331680481,1.9410308661353566,1.13908,4.097,Mammalia,Diprotodontia,Macropodidae
Malaclemys_terrapin,Malaclemys terrapin,0.005300187157478278,0.006184544890287544,1.2169102747683034,0.49638,9.8643,Reptilia,Testudines,Emydidae
Marmota_flaviventris,Marmota flaviventris,0.010012903025215309,0.010012903025215309,1.0,0.32537,4.7005,Mammalia,Rodentia,Sciuridae
Milvus_migrans,Milvus migrans,0.008111938016107656,0.008111938016107656,1.0,0.19613,5.5626,Aves,Accipitriformes,Accipitridae
Mirounga_angustirostris,Mirounga angustirostris,0.0008704288043868436,0.0008704288043868436,1.0,0.0199,10.8427,Mammalia,Carnivora,Phocidae
Mirounga_leonina,Mirounga leonina,0.000983874318904651,0.0011471487246212614,1.215735611097055,0.13039,11.5859,Mammalia,Carnivora,Phocidae
Morone_saxatilis,Morone saxatilis,0.0020576094164456234,0.0020576094164456234,1.0,1.26638,5.2949,Actinopterygii,Perciformes,Moronidae
Moxostoma_duquesnii,Moxostoma duquesnii,0.0048705513225709525,0.0054203501897481295,1.1467469450569407,0.63099,5.5486,Actinopterygii,Cypriniformes,Catostomidae
Moxostoma_hubbsi,Moxostoma hubbsi,0.003453998433210221,0.0038627220461990696,1.1538335083700846,0.27394,9.765,Actinopterygii,Cypriniformes,Catostomidae
Mustela_erminea,Mustela erminea,0.013702322656004311,0.013702322656004311,1.0,1.50067,2.0253,Mammalia,Carnivora,Mustelidae
Mya_arenaria,Mya arenaria,0.0035357881029632787,0.1637674166258087,59.91221730881603,0.23789,5.7388,Bivalvia,Myoida,Myidae
Myodes_rufocanus,Clethrionomys rufocanus,0.02356989247311828,0.02356989247311828,1.0,0.3105,4.7509,Mammalia,Rodentia,Muridae
Mytilus_californianus,Mytilus californianus,0.002063074957410562,0.007986987870040346,4.732819672284047,0.23611,2.5602,Bivalvia,Mytiloida,Mytilidae
Mytilus_galloprovincialis,Mytilus galloprovincialis,0.0038005567361746075,0.0495460959142333,16.647497211509627,0.31338,2.9821,Bivalvia,Mytiloida,Mytilidae
