amp_key,comadre_species,k_M,lambda_A0,g,comadre_log_damping,generation_time,class,order,family
Coragyps_atratus,Coragyps atratus,0.00483533112978376,0.00483533112978376,1.0,0.11585,13.4806,Aves,Accipitriformes,Cathartidae
Coregonus_reighardi,Coregonus reighardi,0.018487345109412075,0.018487345109412075,1.0,1.14146,4.3169,Actinopterygii,Salmoniformes,Salmonidae
Coregonus_zenithicus,Coregonus zenithicus,0.007489457125644287,0.007489457125644287,1.0,1.45381,4.5364,Actinopterygii,Salmoniformes,Salmonidae
Cottus_bairdii,Cottus bairdi,0.0077313813982714434,0.016539088695026523,2.480979775275549,0.06944,2.3034,Actinopterygii,Scorpaeniformes,Cottidae
Cottus_confusus,Cottus confusus,0.006422776594228465,0.02513007283345154,4.78644418877088,0.34994,3.2386,Actinopterygii,Scorpaeniformes,Cottidae
Crassostrea_virginica,Crassostrea virginica,0.0017993893989325823,0.00946845696814278,6.540650537280838,0.20247,,Bivalvia,Ostreoida,Ostreidae
Crocodylus_acutus,Crocodylus acutus,0.0009747235768432235,0.0009747235768432235,1.0,0.22534,12.9775,Reptilia,Crocodylia,Crocodylidae
Crocodylus_johnsoni,Crocodylus johnsoni,0.0038310824581916482,0.0038310824581916482,1.0,0.09498,20.6251,Reptilia,Crocodylia,Crocodylidae
Crocodylus_niloticus,Crocodylus niloticus,0.0005810288877874517,0.0005810288877874517,1.0,0.08772,25.2737,Reptilia,Crocodylia,Crocodylidae
Cryptobranchus_alleganiensis,Cryptobranchus alleganiensis alleganiensis,0.0026163503790622438,0.0026163503790622438,1.0,0.39139,7.3114,Amphibia,Caudata,Cryptobranchidae
Cyprinus_carpio,Cyprinus carpio,0.002350061967588598,0.002350061967588598,1.0,0.3987,4.7519,Actinopterygii,Cypriniformes,Cyprinidae
Dama_dama,Dama dama,0.003464977478029038,0.004955267583725452,1.5591312352504423,0.05919,7.013,Mammalia,Artiodactyla,Cervidae
Dasypus_novemcinctus,Dasypus novemcinctus,0.002018787663948954,0.002018787663948954,1.0,0.31948,4.0535,Mammalia,Cingulata,Dasypodidae
Didelphis_aurita,Didelphis aurita,0.012163484030111001,0.012163484030111001,1.0,0.24091,3.8178,Mammalia,Didelphimorphia,Didelphidae
Eidolon_helvum,Eidolon helvum,0.010119258070518472,0.013443168065026673,1.4270157913503303,0.4506,5.3866,Mammalia,Chiroptera,Pteropodidae
Elephas_maximus,Elephas maximus,0.000390837490676113,0.000390837490676113,1.0,0.06714,19.43,Mammalia,Proboscidea,Elephantidae
Emydura_macquarii,Emydura macquarii,0.002087400253542297,0.004005197488152435,2.194373911166463,0.17002,41.0902,Reptilia,Testudines,Chelidae
Epidalea_calamita,Epidalea calamita,0.010940831691172754,0.010940831691172754,1.0,0.25746,7.3271,Amphibia,Anura,Bufonidae
Epinephelus_morio,Epinephelus morio,0.003807046920089779,0.003807046920089779,1.0,0.06118,26.3537,Actinopterygii,Perciformes,Serranidae
