2921882,16175,Spodoptera_litura,Insects/Spiders,430
121755,391,Anguilla_japonica,Fish,11000
2921882,16,Gambusia_affinis,Fish,260
2921882,5,Daphnia_magna,Crustaceans;Standard Test Species,0.22
2921882,142,Americamysis_bahia,Crustaceans;Standard Test Species,0.056
2921882,16846,Helicoverpa_armigera,Insects/Spiders;U.S. Invasive Species,1820
121755,421,Artemia_sp.,Crustaceans,140000
2921882,20,Ictalurus_punctatus,Fish;Standard Test Species,2077
121755,4,Oncorhynchus_mykiss,Fish;Standard Test Species;U.S. Threatened and Endangered Species,100
63252,418,Channa_punctata,Fish,14000
121755,5940,Utterbackia_imbecillis,Molluscs;Standard Test Species,324000
63252,361,Orconectes_virilis,Crustaceans,1610
63252,433,Fundulus_grandis,Fish,10000
2921882,375,Menidia_menidia,Fish;Standard Test Species,5.6
121755,964,Chironomus_riparius,Insects/Spiders;Standard Test Species,150
2921882,648,Macrobrachium_rosenbergii,Crustaceans,0.7
2921882,676,Heptageniidae,Insects/Spiders,0.05
63252,339,Cancer_magister,Crustaceans,9
63252,202,Labeo_rohita,Fish,8780
2921882,5,Daphnia_magna,Crustaceans;Standard Test Species,0.325
63252,1640,Lymnaea_acuminata,Molluscs,56200
2921882,397,Culex_quinquefasciatus,Insects/Spiders,11700
2921882,647,Culex_tarsalis,Insects/Spiders,0.38
63252,1632,Colisa_fasciata,Fish,8000
2921882,52,Hyalella_azteca,Crustaceans;Standard Test Species,0.1
121755,339,Cancer_magister,Crustaceans,1330
2921882,2,Lepomis_macrochirus,Fish;Standard Test Species,7.24
2921882,21,Cyprinus_carpio,Fish;Standard Test Species,3.6
2921882,2495,Tilapia_zillii,Fish,22.74
2921882,16,Gambusia_affinis,Fish,200
2921882,16175,Spodoptera_litura,Insects/Spiders,18500
2921882,352,Heteropneustes_fossilis,Fish,2500
2921882,422,Cirrhinus_mrigala,Fish,3320
2921882,1233,Aedes_sticticus,Insects/Spiders,0.5
121755,397,Culex_quinquefasciatus,Insects/Spiders,126
121755,210,Culex_pipiens,Insects/Spiders,29.5
1563662,21,Cyprinus_carpio,Fish;Standard Test Species,1550
2921882,5894,Chironomus_tepperi,Insects/Spiders,0.96
121755,20,Ictalurus_punctatus,Fish;Standard Test Species,8970
63252,2,Lepomis_macrochirus,Fish;Standard Test Species,6970
1563662,20,Ictalurus_punctatus,Fish;Standard Test Species,450
2921882,676,Heptageniidae,Insects/Spiders,7
63252,11660,Oncorhynchus_gilae_ssp._apache,Fish;U.S. Threatened and Endangered Species,1660
63252,374,Lampsilis_siliquoidea,Molluscs,8000
121755,2766,Barytelphusa_cunicularis,Crustaceans,6480
63252,210,Culex_pipiens,Insects/Spiders,690
121755,28845,Hyphessobrycon_erythrostigma,Fish,252
2921882,33531,Puntius_chola,Fish,219
121755,397,Culex_quinquefasciatus,Insects/Spiders,29000
63252,34,Oncorhynchus_clarkii,Fish,3380
63252,361,Orconectes_virilis,Crustaceans,2610
63252,2989,Cambarus_bartonii,Crustaceans,3430
63252,1,Pimephales_promelas,Fish;Standard Test Species,5860
121755,1673,Culex_nigripalpus,Insects/Spiders,30
63252,17167,Xanthocnemis_zealandica,Insects/Spiders,770
2921882,2371,Ceriodaphnia_dubia,Crustaceans;Standard Test Species,0.0788
2921882,730,Palaemon_serratus,Crustaceans,0.22
2921882,16175,Spodoptera_litura,Insects/Spiders,7800
2921882,16175,Spodoptera_litura,Insects/Spiders,14300
63252,640,Lumbriculus_variegatus,Worms;Standard Test Species,8200
121755,964,Chironomus_riparius,Insects/Spiders;Standard Test Species,0.212
121755,5767,Megalonaias_nervosa,Molluscs,22000
63252,31613,Euphlyctis_hexadactylus,Amphibians,107900
121755,397,Culex_quinquefasciatus,Insects/Spiders,55
63252,68,Salmo_salar,Fish;Standard Test Species;U.S. Threatened and Endangered Species,250
2921882,157,Cloeon_dipterum,Insects/Spiders,1.11
121755,964,Chironomus_riparius,Insects/Spiders;Standard Test Species,332.5
2921882,16,Gambusia_affinis,Fish,4000
2921882,1,Pimephales_promelas,Fish;Standard Test Species,120
121755,20,Ictalurus_punctatus,Fish;Standard Test Species,11500
121755,57,Fundulus_heteroclitus,Fish;Standard Test Species,440
121755,964,Chironomus_riparius,Insects/Spiders;Standard Test Species,0.368
121755,905,Planorbis_corneus,Molluscs,81300
2921882,5947,Aphytis_melinus,Insects/Spiders,930
63252,368,Hoplobatrachus_tigerinus,Amphibians,5680
2921882,1579,Culex_tritaeniorhynchus,Insects/Spiders,51.8
63252,28,Poecilia_reticulata,Fish;Standard Test Species,10300
