species,n_matrices,mean_log_damping,mean_generation_time,class,order,family
Pocillopora damicornis,1,0.13024,,Anthozoa,Scleractinia,Pocilloporidae
Podocnemis expansa,1,0.0138,26.6343,Reptilia,Testudines,Podocnemididae
Poecilia reticulata,2,0.17189,9.3205,Actinopterygii,Cyprinodontiformes,Poeciliidae
Pongo abelii,1,0.01665,30.7258,Mammalia,Primates,Hominidae
Porites astreoides,4,0.13482,,Anthozoa,Scleractinia,Poritidae
Porites harrisoni,1,0.39442,,Anthozoa,Scleractinia,Poritidae
Presbytis thomasi,1,0.01152,13.257,Mammalia,Primates,Cercopithecidae
Propithecus edwardsi,2,0.64191,21.0326,Mammalia,Primates,Indriidae
Propithecus verreauxi,25,0.14646,22.8784,Mammalia,Primates,Indriidae
Pseudocheirus peregrinus,1,0.06265,,Mammalia,Diprotodontia,Pseudocheiridae
Puffinus auricularis,1,0.21518,14.6367,Aves,Procellariiformes,Procellariidae
Puma concolor,12,0.11197,4.8665,Mammalia,Carnivora,Felidae
Pygoscelis adeliae,28,0.67701,8.3309,Aves,Sphenisciformes,Spheniscidae
Pylodictis olivaris,2,0.17975,13.0849,Actinopterygii,Siluriformes,Ictaluridae
Rana catesbeiana,1,0.06292,4.6216,Amphibia,Anura,Ranidae
Rana temporaria,2,0.17044,3.956,Amphibia,Anura,Ranidae
Rangifer tarandus,3,0.17205,7.475,Mammalia,Artiodactyla,Cervidae
Rattus fuscipes,3,0.00799,2.0224,Mammalia,Rodentia,Muridae
Rhinichthys cataractae,1,0.3524,3.2511,Actinopterygii,Cypriniformes,Cyprinidae
Rhinichthys osculus,1,0.12241,2.3336,Actinopterygii,Cypriniformes,Cyprinidae
Rissa tridactyla,1,0.14494,11.047,Aves,Charadriiformes,Laridae
Rutilus rutilus,1,0.13542,6.002,Actinopterygii,Cypriniformes,Cyprinidae
Saguinus fuscicollis,4,0.54615,4.6137,Mammalia,Primates,Callitrichidae
Saguinus imperator,3,0.06581,,Mammalia,Primates,Callitrichidae
Salmo salar,1,0.26868,4.2,Actinopterygii,Salmoniformes,Salmonidae
Salvelinus confluentus,3,0.17215,4.6761,Actinopterygii,Salmoniformes,Salmonidae
Salvelinus fontinalis,1,0.38677,2.846,Actinopterygii,Salmoniformes,Salmonidae
Salvelinus malma,2,0.04585,7.0145,Actinopterygii,Salmoniformes,Salmonidae
Sceloporus arenicolus,7,0.36556,3.6501,Reptilia,Squamata,Phrynosomatidae
Sceloporus grammicus,21,0.47027,3.7528,Reptilia,Squamata,Phrynosomatidae
Sceloporus mucronatus mucronatus,1,0.45474,4.0896,Reptilia,Squamata,Phrynosomatidae
Scolytus ventralis,7,0.0456,5.8039,Insecta,Coleoptera,Curculionidae
Sigmodon hispidus,12,0.24747,2.7145,Mammalia,Rodentia,Muridae
Somateria mollissima,5,0.41515,13.5808,Aves,Anseriformes,Anatidae
Spermophilus dauricus,1,0.16539,3.868,Mammalia,Rodentia,Sciuridae
Spongia graminea,3,0.10407,24.848,Demospongiae,Dictyoceratida,Spongiidae
Sterna hirundo,8,0.21469,12.7522,Aves,Charadriiformes,Laridae
Sternula antillarum browni,1,0.10996,6.6797,Aves,Charadriiformes,Laridae
Strix occidentalis,12,0.44513,6.4684,Aves,Strigiformes,Strigidae
Sus scrofa,1,0.21806,6.3713,Mammalia,Artiodactyla,Suidae
Tachycineta bicolor,1,16.0717,1.6556,Aves,Passeriformes,Hirundinidae
Tamiasciurus hudsonicus,1,0.25138,2.9101,Mammalia,Rodentia,Sciuridae
Thalassarche melanophris,2,0.1568,38.2826,Aves,Procellariiformes,Diomedeidae
Thalia democratica,1,0.27979,4.9632,Thaliacea,Salpida,Salpidae
Theropithecus gelada,1,0.16457,16.4288,Mammalia,Primates,Cercopithecidae
Turdus torquatus,20,0.598,3.5068,Aves,Passeriformes,Turdidae
Tympanuchus cupido,1,0.21815,2.7173,Aves,Galliformes,Phasianidae
Umbonium costatum,9,0.48623,7.8286,Gastropoda,Vetigastropoda,Trochidae
Urocitellus armatus,7,0.68701,1.8024,Mammalia,Rodentia,Sciuridae
Urocitellus beldingi,1,0.27339,3.3411,Mammalia,Rodentia,Sciuridae
Urocitellus columbianus,8,0.14372,4.7055,Mammalia,Rodentia,Sciuridae
Urocyon littoralis,2,0.37404,3.8023,Mammalia,Carnivora,Canidae
Ursus americanus,4,0.20724,8.9648,Mammalia,Carnivora,Ursidae
Ursus arctos,7,0.05291,11.2379,Mammalia,Carnivora,Ursidae
Ursus maritimus,6,0.21855,26.1898,Mammalia,Carnivora,Ursidae
Vermivora chrysoptera,3,3.53707,2.0833,Aves,Passeriformes,Parulidae
Vipera aspis,2,0.15566,9.2207,Reptilia,Squamata,Viperidae
Vireo latimeri,1,0.88052,2.2566,Aves,Passeriformes,Vireonidae
Vulpes vulpes,2,0.59721,1.9395,Mammalia,Carnivora,Canidae
Xenosaurus grandis,5,0.26197,5.3354,Reptilia,Squamata,Xenosauridae
Xenosaurus platyceps,9,0.23397,7.6017,Reptilia,Squamata,Xenosauridae
Xestospongia muta,7,0.07407,27.3332,Demospongiae,Haplosclerida,Petrosiidae
Yoldia notabilis,3,0.05937,8.3462,Bivalvia,Nuculanoida,Yoldiidae
Zalophus californianus,7,0.50012,9.4632,Mammalia,Carnivora,Otariidae
Zenaida macroura,1,0.27967,2.9896,Aves,Columbiformes,Columbidae
Zingel asper,3,0.27587,2.8965,Actinopterygii,Perciformes,Percidae
Zoarces viviparus,4,0.11983,4.456,Actinopterygii,Perciformes,Zoarcidae
Zootoca vivipara,1,0.53647,1.9626,Reptilia,Squamata,Lacertidae
